id,content,post_code,class_code,class_name,time,good_count,comment_count,Root_code
3357484,用磕了瓜子的手翻书真是太干净啦,202503140942277075P2,20220429RUC01,投稿,刚刚,0,0,202503140941453524P1
3357483,太牛了小姐姐你知道声音有多大吗,202503140942096211P2,20220429RUC01,投稿,刚刚,0,0,202503140941453524P1
3357482,我草磕了一桌子了,202503140942009367P2,20220429RUC01,投稿,刚刚,0,0,202503140941453524P1
3357481,还以为听错了，以为是键盘呢,202503140941542720P2,20220429RUC01,投稿,刚刚,0,0,202503140941453524P1
3357478,推荐番茄的马甲的文《然而你却想s我》（这里的字是睡）,202503140941189563P2,20220429RUC01,投稿, 1分钟前,0,0,202503140937228765P1
3357470,没关系，我们老师说，签到直接给分，期末考一起考，平时作业老师们开会决定正态分布，所以几个老师应该没区别了,202503140939003974P2,20220429RUC01,投稿, 3分钟前,0,0,202503140935237859P1
3357468,本人高瓴大二♀，之前的笔记本是高中买的已经不太能用了，可能后续会有模型训练的需求？游戏的话偶尔玩玩燕云十六声之类的,202503140938408460P2,20220429RUC01,投稿, 4分钟前,0,0,202503140925173784P1
3357433,你要玩啥，或者说你需要用电脑做什么捏,202503140926455521P2,20220429RUC01,投稿, 15分钟前,0,0,202503140925173784P1
3357477,中,202503140941181521P2,20220429RUC01,投稿, 1分钟前,0,0,202503140922477022P1
3357454,喜欢0，今晚你是m，留号,202503140934071136P2,20220429RUC01,投稿, 8分钟前,0,0,202503140922477022P1
3357451,你是谷，那小王呢,202503140933038083P2,20220429RUC01,投稿, 9分钟前,0,0,202503140922477022P1
3357447,6,202503140932088448P2,20220429RUC01,投稿, 10分钟前,0,0,202503140922477022P1
3357442,这是谁啊,202503140929432674P2,20220429RUC01,投稿, 12分钟前,0,0,202503140922477022P1
3357437,姐姐我是你的🐶,202503140927216293P2,20220429RUC01,投稿, 15分钟前,0,0,202503140922477022P1
3357436,留号，今晚约,202503140926596824P2,20220429RUC01,投稿, 15分钟前,0,0,202503140922477022P1
3357472,小妖怪老师点名怎么个形式呢，会直接按着名单点啊吗,202503140940304999P2,20220429RUC01,投稿, 2分钟前,0,0,202503140918194350P1
3357450,今天没点,202503140932546334P2,20220429RUC01,投稿, 9分钟前,0,0,202503140918194350P1
3357453,推荐江棘老师的戏剧课,202503140933523508P2,20220429RUC01,投稿, 8分钟前,0,0,202503140912189269P1
3357440,谢谢😘,202503140927413602P2,20220429RUC01,投稿, 15分钟前,0,0,202503140904499980P1
3357408,金融学大类是金融，金工，保险，信管四个专业，自由分流任选,202503140920102406P2,20220429RUC01,投稿, 22分钟前,0,0,202503140904499980P1
3357361,请好心的师兄师姐加这个qq🥺3874621612,202503140903318159P2,20220429RUC01,投稿, 39分钟前,0,0,202503140902493432P1
3357456,这大厦避风了。。。。,202503140934469029P2,20220429RUC01,投稿, 7分钟前,0,0,202503140901054041P1
3357441,这大厦避风了。。。。,202503140929231315P2,20220429RUC01,投稿, 13分钟前,0,0,202503140901054041P1
3357435,怎么了,202503140926578022P2,20220429RUC01,投稿, 15分钟前,0,0,202503140901054041P1
3357363,这大厦避风了。。。。,202503140905265873P2,20220429RUC01,投稿, 37分钟前,0,0,202503140901054041P1
3357359,真的很有病……,202503140902416911P2,20220429RUC01,投稿, 40分钟前,0,0,202503140901054041P1
3357384,唉,202503140914350531P2,20220429RUC01,投稿, 28分钟前,0,0,202503140859416139P1
3357350,硕士是这样的,202503140857188891P2,20220429RUC01,投稿, 45分钟前,0,0,202503140852564951P1
3357354,妈宝女,202503140858571205P2,20220429RUC01,投稿, 43分钟前,0,0,202503140846556687P1
3357352,纱布，一脚踹飞等着进局子吧,202503140858019183P2,20220429RUC01,投稿, 44分钟前,0,0,202503140846556687P1
3357349,你告诉父母干嘛，搞不好你妹妹觉得这是情趣呢，你也是他们play的一环,202503140857106081P2,20220429RUC01,投稿, 45分钟前,2,0,202503140846556687P1
3357344,🐟有了，开始浮木怎么办,202503140855154728P2,20220429RUC01,投稿, 47分钟前,1,0,202503140846556687P1
3357335,挺正常的，一些人天生玩的就花,202503140850135925P2,20220429RUC01,投稿, 52分钟前,0,0,202503140846556687P1
3357334,但我真的会喜欢自己对象这么对待自己呢,202503140849431943P2,20220429RUC01,投稿, 53分钟前,0,0,202503140846556687P1
3357333,别钓了,202503140849120691P2,20220429RUC01,投稿, 53分钟前,1,0,202503140846556687P1
3357380,谢谢您，那请问检测肝功肾功血糖血脂要多久呢,202503140914163062P2,20220429RUC01,投稿, 28分钟前,0,0,202503140840362791P1
3357370,血常规1h 甲流2h,202503140908321611P2,20220429RUC01,投稿, 34分钟前,0,0,202503140840362791P1
3357427,上海的富裕不用靠吸血，长江口躺着收钱就好了，江浙一带自古就是繁华的地方。再放眼京津冀，自古以来就是边境，没有平原，缺水不下雨，土地没有营养还容易被入侵，在这里建城，繁华是需要吸取周边的资源的，这就是问题,202503140924215837P2,20220429RUC01,投稿, 18分钟前,0,0,202503140836559446P1
3357420,请你别尬黑，无锡苏州，这俩城市甚至比南京还繁华）,202503140922249172P2,20220429RUC01,投稿, 20分钟前,0,0,202503140836559446P1
3357388,“拱卫京师”,202503140916256369P2,20220429RUC01,投稿, 26分钟前,0,0,202503140836559446P1
3357381,百京的虹吸效应,202503140914227704P2,20220429RUC01,投稿, 28分钟前,0,0,202503140836559446P1
3357342,我记得高中地理分析过。忘了,202503140855028905P2,20220429RUC01,投稿, 47分钟前,0,0,202503140836559446P1
3357412,好嘟好嘟～,202503140921046602P2,20220429RUC01,投稿, 21分钟前,0,0,202503140836097402P1
3357375,中一的包浆豆腐,202503140912332961P2,20220429RUC01,投稿, 30分钟前,0,0,202503140836097402P1
3357312,感谢心软的神们，祝好心的叭友门门4.0！,202503140836362763P2,20220429RUC01,投稿, 1小时前,0,0,202503140836097402P1
