id,content,post_code,class_code,class_name,time,good_count,comment_count
3357485,我想你。明天是我的生日，我们再也不会讲话了。,202503140942311223P1,20220429RUC01,投稿,刚刚,0,0
3357479,我草图书馆有人在嗑瓜子,202503140941453524P1,20220429RUC01,投稿,刚刚,0,4
3357476,保安在立德楼下锁电动车啦！大家快避一避换个地方停,202503140941023570P1,20220429RUC01,投稿, 1分钟前,0,0
3357465,怎么搭讪心仪的助教师姐比较好呢？前两周尬聊，现在看得脚趾抠地，今天不知道从什么话题开始,202503140938110377P1,20220429RUC01,投稿, 4分钟前,0,0
3357462,我把你当朋友，但你却想s我，这是一种什么样的感觉呢,202503140937228765P1,20220429RUC01,投稿, 5分钟前,0,1
3357458,毛中特遇到老师大雷怎么调理……,202503140935237859P1,20220429RUC01,投稿, 7分钟前,3,1
3357452,什么鬼，毛概课件上三大原则八项注意里面，不调戏妇女写的是不调休妇女，还能出现这样的纰漏,202503140933191593P1,20220429RUC01,投稿, 9分钟前,1,0
3357449,收数分高代期中！！ qq 1393035184,202503140932288083P1,20220429RUC01,投稿, 10分钟前,0,0
3357446,有偿请同学帮忙打印一份表去崇德西楼盖章，有意向的同学请➕Q3066783026,202503140931491064P1,20220429RUC01,投稿, 10分钟前,0,0
3357439,品牌创意传播课点名吗？,202503140927307714P1,20220429RUC01,投稿, 15分钟前,0,0
3357438,"紫藤园区域 (东风楼、红楼一带) 目前已经开设了“物美临时服务驿站”，在过渡期内为同学们提供商品销售和打印服务👀
     在超市和打印店到期停业之后，终于有新的超市和打印店啦，综合保障部的速度还是挺快滴！
     超市目前已经开始营业了，价格和之前的超市差不多；打印店还在安装设备，暂不营业，不过店员表示这一两天也能开始营业了～

     ​据微人大公示，北京物美邻鲜连锁超市有限公司以132.01万元/年的价格取得中国人民大学紫藤园商贸综合体合作经营项目的五年经营权。",202503140927275148P1,20220429RUC01,投稿, 15分钟前,3,0
3357430,"求助各位叭友：
本人想买个比较轻薄的游戏本（不想太重），预算万内，大家有什么推荐吗？谢谢大家！！！祝大家天天都有好心情！🙏🙏🙏",202503140925173784P1,20220429RUC01,投稿, 17分钟前,2,2
