id,content,post_code,class_code,class_name,time,good_count,comment_count,Root_code
2635214,唉…经济学院卷绩点有什么用，入营大放水，入营后绩点也不管用了…,202407061623248010P1,20220429RUC01,投稿,2024-07-06,11,12,
2635322,而且上海学校的专硕很看实习,202407061657218181P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635321,不懂就问，大小创精英杯入营后就没用了吗,202407061657196928P2,20220429RUC01,投稿,2024-07-06,1,0,202407061623248010P1
2635296,但是博思营对口的应用经济学硕博只录取3个，专硕招得比较多。如果不想走专硕的话竞争蛮大的，复旦的专硕很贵而且没住宿。,202407061650478472P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635276,旦管博思营差不多也行,202407061645275833P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635273,本来以为排在前面的会好一点 唉都好难,202407061643109132P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635261,一语道破天机，经院对学生培养又不是发文导向，也不是实习导向，大家卷来卷去的大小创经英杯可以说是真内卷，几乎没有任何竞争力…,202407061639138260P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635254,光华可以入。但是其他学术项目难，因为经院发论文的不多；专硕项目的话，有实习可能入，但经院有高质量实习的也不多。总的来说经院5%-15%在外保并不是一个安全的排名。,202407061637058280P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635245,5-15%外保也不占优势吗,202407061633355124P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635234,入到50+了,202407061630244009P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635232,卷绩点是卷排名的结果,202407061630177253P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635230,也就前5%能有机会外保，本院入营又录到百分之四五十了，5%-20%之间的真的好想死,202407061629022816P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2635223,卷得高能外保 太低没推免名额 不高不低确实没用,202407061626182610P2,20220429RUC01,投稿,2024-07-06,0,0,202407061623248010P1
2317242,人大有什么比较好的职业生涯规划咨询推荐呀！lz现在都大二下了，坐标经济学院，title和奖项卷了一些，绩点也勉强够看。之前都是和一些准备做学术的师兄师姐们交流，但是看到国内学术圈的乌烟瘴气和国外教职卷到爆炸的新闻……又不是很想毕业以后当教授。但是我本人又很不喜欢那些金融文化（有可能是我有偏见？但是总是觉得我这种绝对不抽烟不喝酒的人可能会挨社会毒打？）。在数学和统计上也没有什么天赋，喜欢计算机技术但是又很不想转码，反复确认量化更是死路一条……总之算来算去，既不知道未来有什么职业可做，又不知道自己喜欢什么职业，更不知道现在准备往哪个方向努力……所以真的很需要找一些职业生涯咨询！如果有学校的正规的最好啦，私底下也可以（可以请喝奶茶！）给各位师兄师姐手递4.0（鞠躬）,202404181949026560P1,20220429RUC01,投稿,2024-04-18,14,3,
2410452,为啥量化是死路一条,202405171555575258P2,20220429RUC01,投稿,2024-05-17,0,0,202404181949026560P1
2319858,找学长学姐聊永远是最快最靠谱的,202404191034413993P2,20220429RUC01,投稿,2024-04-19,0,0,202404181949026560P1
2317254,考公，选调,202404181950460763P2,20220429RUC01,投稿,2024-04-18,0,0,202404181949026560P1
2303267,想转信院，请问信院自己有什么要求么？诸如考试呀，GPA呀，面试什么的。谢谢大家!,202404151549353520P1,20220429RUC01,投稿,2024-04-15,5,24,
2309190,你该不会是说打个csp也算竞赛吧？,202404162330240212P2,20220429RUC01,投稿,2024-04-16,0,0,202404151549353520P1
2306298,信院搞竞赛的少，这方面同辈压力应该不会太大，课程和科研少一年不是啥大问题，研究生转过来的都大有人在,202404161159180785P2,20220429RUC01,投稿,2024-04-16,1,0,202404151549353520P1
2305749,我转数学之前学的数A应该压力不算大？我感觉对我影响就是原来专业的绩点太低了还有就是比数院人少学个Python？,202404160806082007P2,20220429RUC01,投稿,2024-04-16,0,0,202404151549353520P1
2305661,还好吧 之前明理分流过来好多人也是大二下上C++啊,202404160230469352P2,20220429RUC01,投稿,2024-04-16,0,0,202404151549353520P1
2305445,"c, c++大作业小测验……太多了，没基础不建议",202404160038592307P2,20220429RUC01,投稿,2024-04-16,0,0,202404151549353520P1
2305439,补的太多了,202404160038085231P2,20220429RUC01,投稿,2024-04-16,0,0,202404151549353520P1
2305307,为什么非理工部转信息压力会更大？,202404160003408164P2,20220429RUC01,投稿,2024-04-16,0,0,202404151549353520P1
2305031,然后转信院基本上转过去没有问题。但是感觉今年转专业面临的压力会更大（如果楼主不是理工专业的话），一个是今年招生改了以后一部分专业课提前了，导致补课压力更大。一个是未来程设二可能会不开，但是二三级培养方案仍然要程设二，这个政策还不明确。,202404152255061060P2,20220429RUC01,投稿,2024-04-15,1,0,202404151549353520P1
2305013,信院微积分是两个学期五学分的高数，要是学的改选层级的数分到了信院还是要学一个学期数分三，或者从高数一开始学起。我觉得后者更好一些。然后高代你要是正常选的明理就不用管，要是改选的那个可能要补高代二，这个我也不确定，我打算大三补高代的时候问问教秘。,202404152250340332P2,20220429RUC01,投稿,2024-04-15,1,0,202404151549353520P1
2304189,"快来，实验做到头大！绝对是你没经历过的船新版本
",202404151917564442P2,20220429RUC01,投稿,2024-04-15,0,0,202404151549353520P1
2303871,谢谢大家，呜呜，xlb好人好多，真的很感谢!,202404151800289867P2,20220429RUC01,投稿,2024-04-15,0,0,202404151549353520P1
